created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2024-05-04T10:30:11+00:00,1,b'161\r\n',,,,,,
2024-05-04T10:30:27+00:00,2,b'166\r\n',,,,,,
2024-05-04T10:30:46+00:00,3,b'166\r\n',,,,,,
2024-05-04T10:31:07+00:00,4,b'165\r\n',,,,,,
2024-05-04T10:31:23+00:00,5,b'167\r\n',,,,,,
2024-05-04T10:31:39+00:00,6,b'163\r\n',,,,,,
2024-05-04T10:31:55+00:00,7,b'166\r\n',,,,,,
2024-05-04T10:32:11+00:00,8,b'163\r\n',,,,,,
2024-05-04T10:32:27+00:00,9,b'166\r\n',,,,,,
2024-05-04T10:32:43+00:00,10,b'164\r\n',,,,,,
2024-05-04T10:32:59+00:00,11,b'165\r\n',,,,,,
2024-05-04T10:33:15+00:00,12,b'164\r\n',,,,,,
2024-05-04T10:33:31+00:00,13,b'165\r\n',,,,,,
